"","gender","round","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","age","field_cd","mn_sat","tuition","race","imprace","income","goal","date","go_out","dec","like","imprelig","diff_age"
"31","F",10,3,"N",-0.18,"Y",27,"Cauc",35,20,20,20,0,5,"N",15,18,20,18,18,12,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",6,1,4
"32","F",10,2,"N",-0.18,"Y",22,"Cauc",60,0,0,40,0,0,"N",16,13,26,16,16,13,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",8,1,1
"33","F",10,9,"N",0.05,"N",22,"Asian",19,18,19,18,14,12,"N",17,17,17,17,17,17,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",4,1,1
"34","F",10,4,"Y",-0.18,"Y",23,"Cauc",30,5,15,40,5,5,"Y",15,15,15,19,19,19,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","Y",8,1,0
"35","F",10,6,"N",0.21,"N",24,"Latin",30,10,20,10,10,20,"N",16,16,18,16,16,18,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",7,1,1
"36","F",10,5,"N",0.37,"Y",25,"Cauc",50,0,30,10,0,10,"N",15,15,17,17,20,17,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",4,1,2
"37","F",10,10,"N",0.35,"Y",30,"Cauc",35,15,25,10,5,10,"N",22,19,9,16,19,16,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",5,1,7
"38","F",10,1,"N",0.15,"Y",27,"Cauc",33,11,11,11,11,22,"N",16,18,21,16,16,13,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","N",6,1,4
"39","F",10,7,"Y",-0.47,"Y",28,"Cauc",50,0,25,10,0,15,"Y",14,14,14,20,18,20,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","Y",8,1,5
"40","F",10,8,"N",-0.19,"Y",24,"Cauc",100,0,0,0,0,0,"Y",16,18,18,16,18,16,23,"Law",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","Y",10,1,1
"41","F",10,1,"N",-0.43,"Y",27,"Cauc",35,20,20,20,0,5,"N",14,19,19,19,16,14,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","N",7,1,6
"42","F",10,10,"N",0,"Y",22,"Cauc",60,0,0,40,0,0,"N",15,17,24,17,15,12,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","N",6,1,1
"43","F",10,7,"N",-0.17,"N",22,"Asian",19,18,19,18,14,12,"N",17,17,17,17,17,17,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","N",6,1,1
"44","F",10,2,"Y",0.08,"Y",23,"Cauc",30,5,15,40,5,5,"Y",12,17,12,17,21,21,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","Y",8,1,2
"45","F",10,4,"N",-0.16,"N",24,"Latin",30,10,20,10,10,20,"N",11,20,20,16,20,11,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","N",7,1,3
"46","F",10,3,"N",0.06,"Y",25,"Cauc",50,0,30,10,0,10,"Y",12,20,17,17,17,17,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","Y",7,1,4
"47","F",10,8,"N",-0.05,"Y",30,"Cauc",35,15,25,10,5,10,"Y",10,14,19,19,24,14,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","Y",6,1,9
"48","F",10,9,"N",0.07,"Y",27,"Cauc",33,11,11,11,11,22,"Y",16,16,19,16,16,16,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","Y",6,1,6
"49","F",10,5,"Y",-0.13,"Y",28,"Cauc",50,0,25,10,0,15,"Y",11,19,19,19,19,13,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","Y",9,1,7
"50","F",10,6,"N",-0.06,"Y",24,"Cauc",100,0,0,0,0,0,"Y",7,24,17,17,24,12,21,"Law",0,0,"Cauc",8,86340,"Meet","2Month","SevWeek","Y",10,1,3
"51","F",10,5,"N",0.33,"N",27,"Cauc",35,20,20,20,0,5,"Y",16,20,18,20,18,9,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","Y",6,1,4
"52","F",10,4,"N",0.37,"N",22,"Cauc",60,0,0,40,0,0,"Y",14,19,23,14,16,14,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","Y",7,1,1
"53","F",10,1,"N",-0.51,"Y",22,"Asian",19,18,19,18,14,12,"N",17,17,17,17,17,17,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","N",6,1,1
"54","F",10,6,"Y",0.12,"N",23,"Cauc",30,5,15,40,5,5,"Y",13,17,17,15,20,17,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","Y",9,1,0
"55","F",10,8,"N",0.35,"N",24,"Latin",30,10,20,10,10,20,"N",19,15,19,15,19,13,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","N",4,1,1
"56","F",10,7,"N",0.19,"N",25,"Cauc",50,0,30,10,0,10,"N",14,14,19,19,19,16,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","N",2,1,2
"57","F",10,2,"N",0.47,"N",30,"Cauc",35,15,25,10,5,10,"Y",16,19,25,12,16,12,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","Y",8,1,7
"58","F",10,3,"N",0.03,"N",27,"Cauc",33,11,11,11,11,22,"N",15,17,20,17,20,12,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","N",5,1,4
"59","F",10,9,"Y",0.46,"N",28,"Cauc",50,0,25,10,0,15,"Y",16,18,18,16,16,16,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","Y",9,1,5
"60","F",10,10,"N",0.43,"N",24,"Cauc",100,0,0,0,0,0,"Y",14,20,20,12,20,14,23,"Law",0,0,"Asian",1,60304,"Fun","1Week","SevWeek","Y",9,1,1
"61","F",10,2,"N",0.19,"N",27,"Cauc",35,20,20,20,0,5,"N",16,18,18,18,16,16,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","N",7,4,5
"62","F",10,1,"N",0.21,"N",22,"Cauc",60,0,0,40,0,0,"N",16,21,23,14,14,12,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","N",7,4,0
"63","F",10,8,"N",0.52,"Y",22,"Asian",19,18,19,18,14,12,"N",17,17,17,17,17,17,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","N",7,4,0
"64","F",10,3,"Y",-0.46,"N",23,"Cauc",30,5,15,40,5,5,"Y",16,16,18,16,18,18,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","Y",8,4,1
"65","F",10,5,"N",-0.27,"N",24,"Latin",30,10,20,10,10,20,"N",18,16,20,14,20,11,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","N",5,4,2
"66","F",10,4,"N",0.59,"N",25,"Cauc",50,0,30,10,0,10,"N",19,19,19,14,14,14,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","N",5,4,3
"67","F",10,9,"N",0.31,"N",30,"Cauc",35,15,25,10,5,10,"Y",24,21,17,14,14,10,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","Y",8,4,8
"68","F",10,10,"N",0.08,"N",27,"Cauc",33,11,11,11,11,22,"N",20,18,15,18,18,12,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","N",5,4,5
"69","F",10,6,"Y",-0.34,"N",28,"Cauc",50,0,25,10,0,15,"Y",17,13,17,17,17,19,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","Y",6,4,6
"70","F",10,7,"N",-0.16,"N",24,"Cauc",100,0,0,0,0,0,"Y",17,14,19,14,19,17,22,"Law",0,0,"Asian",2,54620,"Fun","1Month","SevWeek","Y",7,4,2
"71","F",10,7,"N",-0.03,"Y",27,"Cauc",35,20,20,20,0,5,"Y",21,18,16,16,16,13,25,"PolSci",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","Y",4,1,2
"72","F",10,6,"Y",-0.11,"Y",22,"Cauc",60,0,0,40,0,0,"Y",18,18,23,16,14,11,25,"PolSci",0,0,"Cauc",1,60304,"Fun","1Month","SevWeek","Y",8,1,3
"73","F",10,3,"Y",0.42,"N",22,"Asian",19,18,19,18,14,12,"Y",17,17,17,17,17,17,25,"PolSci",0,0,"Cauc",1,60304,"Fun","1Month","SevWeek","Y",5,1,3
"74","F",10,8,"Y",-0.4,"Y",23,"Cauc",30,5,15,40,5,5,"Y",17,17,17,17,17,15,25,"PolSci",0,0,"Cauc",1,60304,"Fun","1Month","SevWeek","Y",5,1,2
"75","F",10,10,"Y",-0.23,"N",24,"Latin",30,10,20,10,10,20,"Y",18,18,16,18,18,14,25,"PolSci",0,0,"Cauc",1,60304,"Fun","1Month","SevWeek","Y",6,1,1
"76","F",10,9,"Y",0.28,"Y",25,"Cauc",50,0,30,10,0,10,"Y",18,16,16,16,18,16,25,"PolSci",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","Y",6,1,0
"77","F",10,4,"N",0.05,"Y",30,"Cauc",35,15,25,10,5,10,"Y",19,12,22,16,19,12,25,"PolSci",0,0,"Cauc",1,60304,"Fun","1Month","SevWeek","Y",6,1,5
"78","F",10,5,"Y",0.17,"Y",27,"Cauc",33,11,11,11,11,22,"Y",20,18,18,18,16,11,25,"PolSci",0,0,"Cauc",1,60304,"Fun","1Month","SevWeek","Y",5,1,2
"79","F",10,1,"Y",-0.47,"Y",28,"Cauc",50,0,25,10,0,15,"Y",16,14,16,20,16,20,25,"PolSci",0,0,"Cauc",1,65929,"Fun","1Month","SevWeek","Y",7,1,3
"80","F",10,2,"Y",-0.21,"Y",24,"Cauc",100,0,0,0,0,0,"Y",15,19,17,17,15,15,25,"PolSci",0,0,"Cauc",1,37754,"Fun","1Month","SevWeek","Y",8,1,1
"81","F",10,8,"N",0.19,"N",27,"Cauc",35,20,20,20,0,5,"Y",15,20,17,20,17,12,26,"PolSci",0,0,"Other",1,48652,"Fun","2Month","SevWeek","Y",5,1,1
"82","F",10,7,"Y",0.03,"N",22,"Cauc",60,0,0,40,0,0,"Y",18,18,23,16,14,11,26,"PolSci",0,0,"Other",1,60304,"Fun","2Month","SevWeek","Y",10,1,4
"83","F",10,4,"Y",0.68,"N",22,"Asian",19,18,19,18,14,12,"Y",17,17,17,17,17,17,26,"PolSci",0,0,"Other",1,48652,"Fun","2Month","SevWeek","Y",8,1,4
"84","F",10,9,"Y",-0.26,"N",23,"Cauc",30,5,15,40,5,5,"Y",16,18,16,18,18,16,26,"PolSci",0,0,"Other",1,60304,"Fun","2Month","SevWeek","Y",7,1,3
"85","F",10,1,"Y",-0.01,"N",24,"Latin",30,10,20,10,10,20,"Y",15,19,17,19,15,15,26,"PolSci",0,0,"Other",1,48652,"Fun","2Month","SevWeek","Y",5,1,2
"86","F",10,10,"Y",0.42,"N",25,"Cauc",50,0,30,10,0,10,"Y",15,15,17,20,17,17,26,"PolSci",0,0,"Other",1,60304,"Fun","2Month","SevWeek","Y",6,1,1
"87","F",10,5,"Y",0.21,"N",30,"Cauc",35,15,25,10,5,10,"Y",20,15,18,20,15,12,26,"PolSci",0,0,"Other",1,60304,"Fun","2Month","SevWeek","Y",7,1,4
"88","F",10,6,"N",0.1,"N",27,"Cauc",33,11,11,11,11,22,"Y",18,18,18,18,15,13,26,"PolSci",0,0,"Other",1,48652,"Fun","2Month","SevWeek","Y",7,1,1
"89","F",10,2,"Y",-0.35,"N",28,"Cauc",50,0,25,10,0,15,"Y",16,16,16,19,16,16,26,"PolSci",0,0,"Other",1,48652,"Fun","2Month","SevWeek","Y",7,1,2
"90","F",10,3,"N",-0.23,"N",24,"Cauc",100,0,0,0,0,0,"Y",14,17,17,17,17,17,26,"PolSci",0,0,"Other",1,48652,"Fun","2Month","SevWeek","Y",8,1,2
"91","F",10,9,"N",0.3,"Y",27,"Cauc",35,20,20,20,0,5,"N",17,20,17,20,15,12,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","N",6,4,1
"92","F",10,8,"N",0.65,"Y",22,"Cauc",60,0,0,40,0,0,"N",17,17,17,17,17,17,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","N",1,4,4
"93","F",10,5,"Y",-0.15,"N",22,"Asian",19,18,19,18,14,12,"Y",17,17,17,17,17,17,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","Y",7,4,4
"94","F",10,10,"N",0.17,"Y",23,"Cauc",30,5,15,40,5,5,"N",15,17,15,19,17,17,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","N",10,4,3
"95","F",10,2,"N",0.24,"N",24,"Latin",30,10,20,10,10,20,"N",13,20,20,15,17,15,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","N",6,4,2
"96","F",10,1,"N",0.15,"Y",25,"Cauc",50,0,30,10,0,10,"N",18,18,16,16,16,16,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","N",6,4,1
"97","F",10,6,"N",0.41,"Y",30,"Cauc",35,15,25,10,5,10,"Y",24,24,14,10,14,14,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","Y",7,4,4
"98","F",10,7,"N",0.07,"Y",27,"Cauc",33,11,11,11,11,22,"N",17,17,17,17,17,14,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","N",5,4,1
"99","F",10,3,"Y",0.49,"Y",28,"Cauc",50,0,25,10,0,15,"Y",18,18,18,18,15,15,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","Y",9,4,2
"100","F",10,4,"N",0.08,"Y",24,"Cauc",100,0,0,0,0,0,"Y",17,17,17,17,17,17,26,"PolSci",0,0,"Cauc",4,48652,"Meet","SevYear","SevWeek","Y",9,4,2
"101","M",10,4,"N",0.14,"N",21,"Asian",15,20,20,15,15,15,"N",15,22,18,18,15,12,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",7,3,6
"102","M",10,10,"N",0.29,"Y",24,"Cauc",45,5,25,20,0,5,"N",15,21,24,12,18,9,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",7,3,3
"103","M",10,6,"N",-0.24,"Y",25,"Cauc",35,10,35,10,10,0,"N",14,18,20,14,16,18,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",5,3,2
"104","M",10,3,"N",-0.18,"Y",23,"Cauc",20,20,20,20,10,10,"N",10,24,19,12,19,17,27,"Econ",0,0,"Cauc",7,38022,"Fun","1Month","2Month","N",6,3,4
"105","M",10,1,"N",-0.43,"Y",21,"Cauc",20,5,25,25,10,15,"N",19,30,30,7,7,7,27,"Econ",0,0,"Cauc",7,36782,"Fun","1Month","2Month","N",6,3,6
"106","M",10,5,"N",0.33,"N",23,"Asian",10,25,20,25,5,15,"N",15,22,17,15,17,15,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",7,3,4
"107","M",10,2,"N",0.19,"N",22,"Asian",15,15,25,20,15,10,"N",11,22,22,14,19,11,27,"Econ",0,0,"Cauc",7,36782,"Fun","1Month","2Month","N",7,3,5
"108","M",10,7,"N",-0.03,"Y",25,"Cauc",9,18,27,18,18,9,"N",14,22,19,11,19,14,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",7,3,2
"109","M",10,8,"N",0.19,"N",26,"Other",20,10,20,30,10,10,"N",17,21,19,17,15,12,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",6,3,1
"110","M",10,9,"N",0.3,"Y",26,"Cauc",15,15,15,40,10,5,"N",13,21,21,13,13,19,27,"Econ",0,0,"Cauc",7,52010,"Fun","1Month","2Month","N",6,3,1
"111","M",10,3,"N",0.54,"N",21,"Asian",15,20,20,15,15,15,"N",17,20,17,20,12,15,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",8,1,1
"112","M",10,9,"N",0.18,"Y",24,"Cauc",45,5,25,20,0,5,"N",20,12,15,15,22,15,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",8,1,2
"113","M",10,5,"N",-0.14,"Y",25,"Cauc",35,10,35,10,10,0,"N",18,14,18,16,18,14,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",7,1,3
"114","M",10,2,"N",-0.18,"Y",23,"Cauc",20,20,20,20,10,10,"N",17,15,17,21,15,17,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",6,1,1
"115","M",10,10,"N",0,"Y",21,"Cauc",20,5,25,25,10,15,"N",23,17,17,14,14,14,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",7,1,1
"116","M",10,4,"N",0.37,"N",23,"Asian",10,25,20,25,5,15,"N",15,22,22,15,20,5,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",7,1,1
"117","M",10,1,"N",0.21,"N",22,"Asian",15,15,25,20,15,10,"Y",16,16,22,11,24,11,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","Y",8,1,0
"118","M",10,6,"Y",-0.11,"Y",25,"Cauc",9,18,27,18,18,9,"Y",18,16,16,20,14,16,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","Y",9,1,3
"119","M",10,7,"Y",0.03,"N",26,"Other",20,10,20,30,10,10,"Y",17,17,17,17,17,17,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","Y",8,1,4
"120","M",10,8,"N",0.65,"Y",26,"Cauc",15,15,15,40,10,5,"N",14,14,14,14,14,29,22,"Law",0,0,"Cauc",1,29237,"Fun","SevWeek","SevWeek","N",1,1,4
"121","M",10,10,"Y",0.16,"Y",21,"Asian",15,20,20,15,15,15,"Y",12,19,21,19,12,17,22,"Law",0,0,"Asian",3,36782,"Meet","Never","SevWeek","Y",10,5,1
"122","M",10,6,"N",0.1,"N",24,"Cauc",45,5,25,20,0,5,"Y",14,23,26,17,9,11,22,"Law",0,0,"Asian",3,56580,"Meet","Never","SevWeek","Y",10,5,2
"123","M",10,2,"N",0.09,"N",25,"Cauc",35,10,35,10,10,0,"Y",15,19,19,15,19,15,22,"Law",0,0,"Asian",3,29237,"Meet","Never","SevWeek","Y",10,5,3
"124","M",10,9,"N",0.05,"N",23,"Cauc",20,20,20,20,10,10,"Y",10,18,20,20,15,18,22,"Law",0,0,"Asian",3,36782,"Meet","Never","SevWeek","Y",10,5,1
"125","M",10,7,"N",-0.17,"N",21,"Cauc",20,5,25,25,10,15,"Y",11,16,22,22,16,14,22,"Law",0,0,"Asian",3,29237,"Meet","Never","SevWeek","Y",10,5,1
"126","M",10,1,"N",-0.51,"Y",23,"Asian",10,25,20,25,5,15,"Y",14,24,31,14,10,7,22,"Law",0,0,"Asian",3,29237,"Meet","Never","SevWeek","Y",10,5,1
"127","M",10,8,"N",0.52,"Y",22,"Asian",15,15,25,20,15,10,"Y",8,15,20,18,20,20,22,"Law",0,0,"Asian",3,36782,"Meet","Never","SevWeek","Y",10,5,0
"128","M",10,3,"Y",0.42,"N",25,"Cauc",9,18,27,18,18,9,"Y",12,20,20,15,17,17,22,"Law",0,0,"Asian",3,29237,"Meet","Never","SevWeek","Y",10,5,3
"129","M",10,4,"Y",0.68,"N",26,"Other",20,10,20,30,10,10,"Y",12,23,23,14,14,14,22,"Law",0,0,"Asian",3,36782,"Meet","Never","SevWeek","Y",10,5,4
"130","M",10,5,"Y",-0.15,"N",26,"Cauc",15,15,15,40,10,5,"Y",12,20,20,20,12,16,22,"Law",0,0,"Asian",3,36782,"Meet","Never","SevWeek","Y",10,5,4
"131","M",10,5,"Y",0.61,"N",21,"Asian",15,20,20,15,15,15,"Y",17,14,19,17,14,19,23,"Law",0,0,"Cauc",1,56580,"Meet","2Month","SevWeek","Y",7,1,2
"132","M",10,1,"Y",-0.21,"Y",24,"Cauc",45,5,25,20,0,5,"Y",17,22,17,15,12,17,23,"Law",0,0,"Cauc",1,56580,"Meet","2Month","SevWeek","Y",9,1,1
"133","M",10,7,"N",-0.04,"Y",25,"Cauc",35,10,35,10,10,0,"Y",19,15,19,15,19,15,23,"Law",0,0,"Cauc",1,56580,"Meet","2Month","SevWeek","Y",7,1,2
"134","M",10,4,"Y",-0.18,"Y",23,"Cauc",20,20,20,20,10,10,"Y",15,19,13,19,13,19,23,"Law",0,0,"Cauc",1,56580,"Meet","2Month","SevWeek","Y",8,1,0
"135","M",10,2,"Y",0.08,"Y",21,"Cauc",20,5,25,25,10,15,"Y",20,12,12,17,17,22,23,"Law",0,0,"Cauc",1,56580,"Meet","2Month","SevWeek","Y",7,1,2
"136","M",10,6,"Y",0.12,"N",23,"Asian",10,25,20,25,5,15,"Y",21,15,18,21,5,21,23,"Law",0,0,"Cauc",1,56580,"Meet","2Month","SevWeek","Y",7,1,0
